pollster,methodology,numeric_grade,state,party,candidate,pct,sample_size
ActiVote,Online,2.2,Texas,REP,Joe Biden,29.5,1077
Ipsos,Online,4.2,Texas,REP,Ron DeSantis,47.5,1664
TIPP Insights,In-person,2.6,California,REP,Ron DeSantis,29,2516
ActiVote,Phone,4.5,Texas,REP,Joe Biden,32.7,2222
Ipsos,In-person,4.8,California,REP,Kamala Harris,27,2447
TIPP Insights,In-person,1.2,Ohio,REP,Kamala Harris,52.1,1444
ActiVote,Online,3.1,Texas,DEM,Kamala Harris,25.9,1994
YouGov,Mixed,4.6,Florida,REP,Kamala Harris,52.9,1094
YouGov,In-person,3.2,Ohio,DEM,Joe Biden,33.2,2941
Ipsos,In-person,2.8,Michigan,REP,Donald Trump,35,2487
Ipsos,In-person,4.8,New York,DEM,Ron DeSantis,45.2,1378
TIPP Insights,Mixed,2.8,Ohio,DEM,Donald Trump,23.9,2365
Ipsos,Phone,3.7,Texas,DEM,Ron DeSantis,20.9,1220
YouGov,In-person,3.3,California,DEM,Kamala Harris,59.7,1695
ActiVote,In-person,1.4,New York,DEM,Ron DeSantis,43.4,2184
TIPP Insights,In-person,4.6,Georgia,REP,Ron DeSantis,51.3,1619
TIPP Insights,Online,2,Texas,DEM,Ron DeSantis,55.7,1447
Ipsos,Phone,1.2,Georgia,REP,Donald Trump,50.2,1241
YouGov,Online,2.3,Michigan,REP,Joe Biden,59.2,2716
TIPP Insights,Mixed,4.8,Ohio,REP,Joe Biden,21.8,1926
ActiVote,In-person,4.6,California,REP,Ron DeSantis,56.1,1813
Ipsos,Mixed,3.8,North Carolina,REP,Ron DeSantis,54.6,2991
YouGov,Phone,3.6,Ohio,REP,Kamala Harris,51,2559
YouGov,Mixed,5,California,REP,Joe Biden,35.1,2851
YouGov,In-person,3.6,New York,REP,Donald Trump,21.7,1925
TIPP Insights,Online,3.8,Florida,REP,Ron DeSantis,34.6,1406
TIPP Insights,Phone,3.2,California,DEM,Kamala Harris,31,1228
YouGov,Phone,3.4,Georgia,DEM,Donald Trump,54,2247
